id,PreCollege,After1,AtEnd
952,ND,LD/MD,HD
953,ND,ND,ND
954,ND,HD,HD
955,ND,LD/MD,LD/MD
956,HD,LD/MD,HD
957,LD/MD,HD,LD/MD
958,ND,ND,ND
959,ND,LD/MD,LD/MD
960,ND,ND,ND
961,ND,HD,LD/MD
962,ND,LD/MD,LD/MD
963,LD/MD,LD/MD,LD/MD
964,LD/MD,ND,HD
965,ND,HD,LD/MD
966,HD,LD/MD,HD
967,HD,LD/MD,HD
968,ND,HD,HD
969,LD/MD,LD/MD,LD/MD
970,HD,HD,LD/MD
971,ND,ND,ND
972,LD/MD,LD/MD,LD/MD
973,LD/MD,LD/MD,HD
974,LD/MD,ND,LD/MD
975,LD/MD,LD/MD,ND
976,ND,HD,LD/MD
977,ND,LD/MD,HD
978,ND,HD,LD/MD
979,HD,ND,HD
980,ND,LD/MD,LD/MD
981,ND,HD,LD/MD
982,LD/MD,LD/MD,LD/MD
983,ND,ND,ND
984,ND,ND,HD
985,ND,HD,LD/MD
986,HD,LD/MD,HD
987,ND,LD/MD,LD/MD
988,ND,LD/MD,LD/MD
989,ND,HD,LD/MD
990,LD/MD,ND,HD
991,LD/MD,HD,LD/MD
992,ND,HD,ND
993,LD/MD,HD,LD/MD
994,HD,HD,LD/MD
995,LD/MD,HD,HD
996,HD,LD/MD,HD
997,ND,LD/MD,LD/MD
998,LD/MD,LD/MD,LD/MD
999,ND,HD,HD
1000,ND,LD/MD,LD/MD
1001,ND,HD,LD/MD
1002,ND,HD,HD
1003,LD/MD,LD/MD,HD
1004,LD/MD,ND,HD
1005,ND,HD,LD/MD
1006,ND,ND,ND
1007,ND,ND,ND
1008,ND,ND,ND
1009,ND,LD/MD,LD/MD
1010,ND,ND,ND
1011,HD,ND,LD/MD
1012,ND,LD/MD,LD/MD
1013,LD/MD,HD,ND
1014,ND,ND,LD/MD
1015,ND,HD,HD
1016,LD/MD,HD,LD/MD
1017,ND,LD/MD,LD/MD
1018,ND,HD,ND
1019,LD/MD,HD,LD/MD
1020,ND,HD,LD/MD
1021,HD,LD/MD,HD
1022,ND,HD,LD/MD
1023,ND,HD,LD/MD
1024,ND,LD/MD,HD
1025,ND,LD/MD,LD/MD
1026,ND,HD,HD
1027,ND,LD/MD,HD
1028,ND,HD,LD/MD
1029,LD/MD,HD,HD
1030,ND,LD/MD,LD/MD
1031,LD/MD,HD,LD/MD
1032,ND,LD/MD,LD/MD
1033,ND,LD/MD,LD/MD
1034,ND,HD,LD/MD
1035,ND,ND,HD
1036,ND,ND,ND
1037,ND,LD/MD,LD/MD
1038,ND,HD,LD/MD
1039,LD/MD,ND,LD/MD
1040,LD/MD,LD/MD,HD
1041,ND,LD/MD,HD
1042,ND,HD,HD
1043,LD/MD,LD/MD,LD/MD
1044,ND,HD,LD/MD
1045,ND,HD,HD
1046,ND,LD/MD,ND
1047,ND,LD/MD,LD/MD
1048,ND,ND,HD
1049,ND,HD,LD/MD
1050,LD/MD,LD/MD,LD/MD
1051,ND,ND,HD
1052,LD/MD,HD,LD/MD
1053,ND,LD/MD,LD/MD
1054,ND,HD,HD
1055,ND,LD/MD,LD/MD
1056,LD/MD,LD/MD,HD
1057,LD/MD,LD/MD,LD/MD
1058,HD,LD/MD,HD
1059,ND,HD,ND
1060,ND,LD/MD,HD
1061,HD,ND,ND
1062,ND,HD,LD/MD
1063,LD/MD,ND,LD/MD
1064,HD,LD/MD,HD
1065,LD/MD,HD,LD/MD
1066,HD,HD,ND
1067,ND,LD/MD,HD
1068,ND,LD/MD,LD/MD
1069,ND,LD/MD,LD/MD
1070,ND,LD/MD,LD/MD
1071,HD,LD/MD,HD
1072,HD,LD/MD,HD
1073,HD,LD/MD,HD
1074,ND,HD,HD
1075,HD,LD/MD,HD
1076,ND,ND,LD/MD
1077,ND,HD,ND
1078,LD/MD,HD,HD
1079,ND,LD/MD,HD
1080,ND,LD/MD,LD/MD
1081,ND,ND,ND
1082,ND,HD,LD/MD
1083,ND,LD/MD,LD/MD
1084,HD,LD/MD,HD
1085,ND,HD,HD
1086,ND,HD,HD
1087,ND,HD,ND
1088,ND,LD/MD,LD/MD
1089,LD/MD,LD/MD,ND
1090,ND,LD/MD,LD/MD
1091,ND,ND,ND
1092,HD,LD/MD,HD
1093,HD,ND,LD/MD
1094,ND,HD,ND
1095,ND,LD/MD,LD/MD
1096,ND,LD/MD,LD/MD
1097,ND,HD,LD/MD
1098,ND,HD,LD/MD
1099,LD/MD,LD/MD,LD/MD
1100,ND,HD,ND
1101,ND,ND,ND
1102,LD/MD,ND,LD/MD
1103,LD/MD,HD,HD
1104,ND,ND,ND
1105,LD/MD,LD/MD,HD
1106,LD/MD,ND,HD
1107,ND,LD/MD,ND
1108,ND,LD/MD,LD/MD
1109,ND,LD/MD,LD/MD
1110,ND,HD,HD
1111,ND,ND,LD/MD
1112,HD,LD/MD,HD
1113,ND,HD,LD/MD
1114,ND,HD,LD/MD
1115,LD/MD,ND,ND
1116,LD/MD,LD/MD,LD/MD
1117,ND,HD,HD
1118,ND,LD/MD,HD
1119,LD/MD,ND,LD/MD
1120,ND,HD,LD/MD
1121,LD/MD,LD/MD,HD
1122,ND,HD,HD
1123,HD,LD/MD,HD
1124,HD,HD,LD/MD
1125,HD,LD/MD,HD
1126,ND,HD,HD
1127,LD/MD,LD/MD,LD/MD
1128,HD,LD/MD,HD
1129,LD/MD,LD/MD,HD
1130,ND,HD,LD/MD
1131,HD,HD,LD/MD
1132,ND,ND,HD
1133,ND,ND,ND
1134,HD,LD/MD,HD
1135,ND,HD,HD
1136,ND,LD/MD,HD
1137,ND,LD/MD,HD
1138,HD,HD,LD/MD
1139,ND,LD/MD,LD/MD
1140,LD/MD,ND,HD
1141,ND,HD,LD/MD
1142,LD/MD,LD/MD,HD
1143,ND,HD,LD/MD
1144,LD/MD,LD/MD,LD/MD
1145,ND,ND,HD
1146,ND,ND,ND
1147,ND,ND,ND
1148,ND,ND,ND
1149,ND,LD/MD,LD/MD
1150,ND,LD/MD,ND
1151,ND,LD/MD,LD/MD
1152,ND,HD,HD
1153,ND,LD/MD,LD/MD
1154,ND,LD/MD,LD/MD
1155,ND,HD,HD
1156,HD,HD,LD/MD
1157,LD/MD,HD,LD/MD
1158,ND,ND,ND
1159,LD/MD,LD/MD,HD
1160,LD/MD,HD,LD/MD
1161,ND,HD,HD
1162,ND,HD,LD/MD
1163,HD,LD/MD,HD
1164,ND,HD,ND
1165,LD/MD,LD/MD,HD
1166,ND,HD,HD
1167,LD/MD,ND,HD
1168,ND,ND,ND
1169,HD,HD,LD/MD
1170,ND,HD,LD/MD
1171,ND,HD,LD/MD
1172,ND,HD,HD
1173,ND,LD/MD,ND
1174,ND,HD,HD
1175,HD,LD/MD,LD/MD
1176,LD/MD,HD,HD
1177,ND,ND,ND
1178,ND,LD/MD,HD
1179,ND,ND,ND
1180,HD,HD,LD/MD
1181,LD/MD,HD,LD/MD
1182,ND,HD,HD
1183,ND,HD,HD
1184,ND,LD/MD,LD/MD
1185,HD,LD/MD,LD/MD
1186,ND,LD/MD,LD/MD
1187,ND,LD/MD,ND
1188,LD/MD,HD,HD
1189,ND,LD/MD,HD
1190,ND,HD,LD/MD
1191,HD,LD/MD,HD
1192,LD/MD,LD/MD,HD
1193,LD/MD,LD/MD,HD
1194,ND,ND,ND
1195,ND,LD/MD,LD/MD
1196,ND,HD,LD/MD
1197,ND,ND,HD
1198,LD/MD,LD/MD,HD
1199,LD/MD,ND,LD/MD
1200,ND,LD/MD,HD
1201,LD/MD,LD/MD,ND
1202,LD/MD,LD/MD,LD/MD
1203,LD/MD,ND,HD
1204,LD/MD,LD/MD,HD
1205,ND,HD,LD/MD
1206,ND,HD,HD
1207,ND,LD/MD,ND
1208,ND,HD,HD
1209,LD/MD,ND,LD/MD
1210,ND,LD/MD,LD/MD
1211,ND,LD/MD,ND
1212,ND,LD/MD,ND
1213,HD,LD/MD,HD
1214,LD/MD,LD/MD,LD/MD
