WomenEarning,School,MenEarning
64,UCLA,78
72,SoCal,81
68,Emory,82
62,Michigan,84
71,Berkeley,88
72,Brown,92
67,NYU,94
73,Notre Dame,100
80,Cornell,107
76,Tufts,112
79,Yale,114
84,Dartmouth,114
78,Chicago,118
86,Columbia,119
93,Duke,124
94,Georgetown,131
90,Princeton,137
92,U.Penn,141
96,Stanford,151
94,MIT,152
112,Harvard,165
