Location,Petroleum,Biomass,Coal,Natural Gas,Wind,Solar,Energy_Created_Accepted,Energy_Created_Rejected
Transportation,24.8,1.27,0,0.942,0,0,5.68,21.4
Industrial,8.16,2.3,1.51,9.46,0.11,0,19.8,4.95
Commercial,0.561,0.119,0.0479,3.55,0.82,0.17,5.81,3.13
Residential,0.945,0.58,0,5.2,1.73,0.252,7.66,4.12
