acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.00603,['One Direction'],0.72,200920,0.725,0,6Fe0bY8vDxBnN7rDgu3ACE,0,4,0.24,-5.996,1,I Would,65,11/12/12,0.0463,126.471,0.679,2012
0.00891,['One Direction'],0.489,190560,0.917,0,3MN0pucJbbFmqgvPcoC1Eb,0,8,0.184,-4.097,1,She's Not Afraid,65,11/12/12,0.132,167.57,0.772,2012
0.0283,['One Direction'],0.474,262640,0.739,0,3MxJGBnYaP4yQYUv90HLqZ,0,2,0.299,-4.937,1,Moments,66,5/25/12,0.0451,149.894,0.253,2012
0.374,['One Direction'],0.495,244507,0.583,0,3jJ5NJ3aNWvV70Rd7hgZIH,0,8,0.0781,-4.531,1,Gotta Be You,67,5/25/12,0.0249,84.969,0.603,2012
0.0112,['One Direction'],0.643,184000,0.852,0,7gY8FAYu5zuOzmPBlOec3L,0,11,0.0749,-3.763,1,Magic,64,11/12/12,0.0427,134.024,0.863,2012
0.015,['One Direction'],0.638,164680,0.942,0,3lnjFENd7rHxPYM9b964Md,0,5,0.31,-4.163,0,"C'mon, C'mon",65,11/12/12,0.0857,142.896,0.745,2012
0.0164,['One Direction'],0.44,176120,0.824,0,4fa1TicRIFloaEVUubYfTV,0,9,0.0955,-4.859,1,Heart Attack,64,11/12/12,0.073,99.039,0.652,2012
0.00727,['One Direction'],0.658,211627,0.801,0,4SRYGZsbHrmH7E9xMVz4Wm,0,11,0.0448,-4.124,1,Nobody Compares,63,11/12/12,0.0334,124.008,0.879,2012
0.54,['One Direction'],0.672,180067,0.388,0,5lgqMorcT2crsPWiYlgec1,0,0,0.223,-8.009,1,Truly Madly Deeply,63,11/12/12,0.0315,113.051,0.552,2012
0.188,['One Direction'],0.568,221733,0.691,0,1a0PcmEJAOEp4ZT3YtSLkM,0,9,0.0861,-5.225,1,Through the Dark,65,11/25/13,0.0306,131.007,0.396,2013
0.103,['One Direction'],0.54,241000,0.711,0,3yhVmOZSpZqnhRrEiYI0EJ,0,7,0.0827,-5.717,1,Don't Forget Where You Belong,66,11/25/13,0.0255,92.014,0.292,2013
0.025,['One Direction'],0.489,157293,0.867,0,3jZomvOBa5qfTo5HkqI1p5,0,4,0.586,-3.121,0,One Way or Another (Teenage Kicks),69,2/17/13,0.071,162.131,0.409,2013
0.00229,['One Direction'],0.524,196053,0.831,0,7GtGeeChOx4NS77bqK8SUx,0,2,0.171,-4.174,1,Ready to Run,68,11/17/14,0.036,115.067,0.299,2014
0.0183,['One Direction'],0.395,231707,0.906,0,6ibWCCEne6WEqDBAv7BeXv,0,0,0.382,-4.683,1,Clouds,64,11/17/14,0.0866,147.864,0.196,2014
0.0687,['One Direction'],0.537,249480,0.705,0,6N5xh0tYYLTQRiCCaNbAUt,0,4,0.0842,-6.073,1,Infinity,70,11/13/15,0.0337,131.965,0.32,2015
0.0928,['One Direction'],0.546,196933,0.657,0,1ZWLWVqeEMWMKTlteS0yLH,0,1,0.119,-4.787,1,Love You Goodbye,69,11/13/15,0.0332,133.188,0.361,2015
0.0118,['One Direction'],0.614,182133,0.984,0,1fZvvlfjgoqjz7HQKEfzyp,0,1,0.65,-2.419,0,Still The One,63,11/12/12,0.0773,142.002,0.776,2012
0.00914,['One Direction'],0.62,216947,0.872,0,5bODPM8nTwwTIE4W9fuUcC,0,7,0.111,-3.123,1,I Wish,64,5/25/12,0.0347,124.044,0.299,2012
0.0182,['One Direction'],0.674,173587,0.814,0,5MIMD5WMooNWe8QsMqCrE8,0,7,0.079,-2.814,1,I Want,63,5/25/12,0.0391,128.092,0.491,2012
0.00387,['One Direction'],0.507,237707,0.868,0,4K0M12PIWJjA4H0NAP142y,0,2,0.413,-5.204,1,Taken,64,5/25/12,0.0305,95.035,0.684,2012
0.0346,['One Direction'],0.536,236853,0.488,0,7y2SafCBiLoQVBDVZHaVOK,0,7,0.113,-8.938,1,Irresistible,63,11/12/12,0.0244,87.986,0.263,2012
0.0634,['One Direction'],0.599,212893,0.595,0,23eQyAz9tzvrKsG0kAnrja,0,2,0.103,-5.316,1,Change My Mind,63,11/12/12,0.0281,117.031,0.474,2012
0.000467,['One Direction'],0.63,157653,0.881,0,4lxaurdMyGkt1tOrdwRoVO,0,4,0.0405,-3.506,1,Little Black Dress,64,11/25/13,0.0433,121.468,0.54,2013
0.114,['One Direction'],0.627,208667,0.839,0,4qG3Um3jXlQnaQV1yVo3it,0,11,0.534,-5.589,0,Better Than Words,65,11/25/13,0.0508,157.993,0.79,2013
0.00726,['One Direction'],0.591,197920,0.899,0,0O6VeBiFCwHrpVURJSsGsU,0,0,0.393,-3.768,1,Little White Lies,64,11/25/13,0.0536,139.547,0.446,2013
0.00793,['One Direction'],0.547,236520,0.649,0,2Jfsw01CDT5XetSFROs9v5,0,2,0.201,-5.039,1,Something Great,63,11/25/13,0.0298,114.019,0.361,2013
0.000754,['One Direction'],0.523,174360,0.939,0,2pFEbA6GdNxBOMn9Egvowm,0,8,0.0406,-3.311,1,Why Don't We Go There,63,11/25/13,0.0454,160.019,0.788,2013
0.00287,['One Direction'],0.495,198653,0.883,0,4bqIFmnVAsndYWuXxAwQet,2.26E-05,6,0.0978,-4.722,1,Act My Age,65,11/17/14,0.0402,135.899,0.642,2014
0.0256,['One Direction'],0.502,194973,0.594,0,5AezhHjX3R1bmxcAEgrFpS,0,11,0.0834,-5.031,1,End of the Day,68,11/13/15,0.0365,153.687,0.349,2015
