FIPS,County,RUC_Code,PercentTotal,PercentChildren
48479,Webb,2,27.3,36.2
48481,Wharton,4,16,24.8
48483,Wheeler,9,14.5,22.9
48485,Wichita,3,16.8,21
48487,Wilbarger,6,16.4,22.9
48489,Willacy,6,35,44.4
48491,Williamson,1,6.1,7.2
48493,Wilson,1,9.1,13.6
48495,Winkler,6,14.7,21.9
48497,Wise,1,11.1,15.3
48499,Wood,6,15.2,24.8
48501,Yoakum,7,12,17.3
48503,Young,7,15.8,24.5
48505,Zapata,6,30,45.6
48507,Zavala,7,31.6,43.3
