ISO3,NAME,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
CUB,CUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,61,46,32,54,61,60,60,58,67,57,138,185,161,143,120,145,132,144,147,153,162,162,174,186,190,194,216,220,227,235,240,252,265,269,282,296,291,299,275,290,300,312,323,291,241,217,217,236,245,247,252,251,225,223,204,206,201,167,147
CYP,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,7,7,10,12,11,12,13,13,13,14,15,17,18,19,22,22,23,24,33,32,23,21,24,25,24,27,28,28,33,30,33,35,38,39,41,41,45,32,39,43,42,41,45,48,49,27,26,26,28,33,35,33
CZE,CZECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,4,4,9,9,9,8,8,8,9,10,0,0,1,1,1,1,1,1,7,9,12,13,13,15,15,19,19,21,25,26,32,41,54,67,73,90,95,104,115,125,134,159,174,164,171,188,189,191,195,214,208,215,209,221,205,188,195,195,189,192,173,182,147,138,146,142,122,101,85,75,67,40,37,44,37,29,30,20
DNK,DENMARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,2,1,5,7,6,8,10,12,12,15,15,16,17,21,22,22,22,24,22,25,27,32,33,6,2,3,2,2,6,24,44,45,47,72,84,87,94,103,131,155,160,179,187,209,246,278,316,295,332,379,347,386,461,553,529,453,437,353,371,365,324,291,258,202,161,125,98,78,65,53,44,42,36,28,30,28,21,21,24,26,18,17,14,8,8,8,9,8,8
DOM,DOMINICANR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,6,8,9,9,10,11,10,9,12,12,16,15,15,14,22,24,28,31,44,43,47,49,49,53,55,58,62,59,55,67,69,52,68,69,75,73,64,62,73,66,83,83,83,93,98,100,101,95,105,81,78,74
ECU,ECUADOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4,4,5,5,5,5,5,4,5,5,7,6,5,5,6,6,6,6,7,7,8,10,11,9,11,11,15,14,13,15,17,18,19,21,24,25,28,29,28,30,39,40,47,57,65,76,80,91,90,80,78,78,77,77,75,73,80,84,87,75,80,92,93,97,93,77,78,85,86,77,73,75
EGY,EGYPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,2,6,12,9,6,8,7,6,7,7,7,8,11,11,12,12,11,10,9,8,8,7,9,28,38,51,49,53,56,56,53,55,78,95,108,109,116,117,124,112,104,123,140,133,166,173,190,222,260,286,278,193,227,170,181,199,220,195,208,236,284,298,302,330,355,408,454,507,545,553,549,632,621,616,632,589,604,576,477,522,555,612,649,603,543,512,501,480,520,492
SLV,ELSALVADOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,5,6,6,6,6,5,6,11,12,10,12,10,11,11,13,13,14,16,15,17,16,16,15,14,12,11,10,10,10,11,11,15,15,14,14,21,23,26,32,34,26,34,35,31,31,31,30,30,27,26
ERI,ERITREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,10,12,11,9,11,6,6,5,5,5,4
EST,ESTONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,6,4,4,5,6,7,4,5,5,6,7,8,10,11,12,14,15,17,19,21,23,25,28,30,32,36,38,42,46,52,55,57,60,64,65,69,71,71,70,71,72,73,73,73,73,75,77,69,40,41,39,26,28,27,26,24,14,13,12,13,14,13
ETH,ETHIOPIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,2,2,2,2,2,3,3,3,4,6,8,12,12,11,12,11,11,11,10,9,9,9,10,10,12,10,11,10,11,11,12,13,14,15,15,8,10,12,14,16,17,18,18,20,23,22,22,21,19
FIN,FINLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,2,2,2,2,1,0,3,7,10,8,10,11,13,15,19,27,33,35,35,39,50,55,67,83,103,123,143,152,167,194,221,227,261,293,246,234,236,215,198,185,164,203,187,123,120,103,97,95,91,76,85,67,55,46,37,32,28,26,26,26,24,24,24,27,23,22
FRA,FRANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5,6,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,0,0,0,0,1,1,2,2,5,11,21,87,40,44,58,62,74,81,86,109,102,114,136,139,149,133,78,5,5,5,4,40,98,124,153,197,217,256,277,293,334,366,410,425,456,485,521,547,610,740,886,952,"1,026","1,170","1,313","1,490","1,755","1,950","2,186","2,645","2,672","2,458","2,611","2,272","2,275","2,073","1,666","1,188",990,799,684,551,518,578,537,609,618,673,608,618,586,524,495,431,409,353,299,320,291,289,279,261
MKD,FYROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,5,6,9,11,13,16,15,16,25,22,22,22,22,26,30,28,25,23,22,21,22,23,23,25,25,25,19,16,16,16,13,11,16,12,12,10,12,8,10,8,8,9
GAB,GABON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,2,2,3,2,3,5,5,6,5,5,6,6,6,5,6,5,4,5,3,2,3,3,4,4,4,5,5,6,5,5,6,6,6,5,6
GEO,GEORGIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,3,3,3,4,5,5,5,6,7,8,8,9,10,10,10,10,9,12,7,8,9,11,12,8,9,10,11,14,16,18,21,24,26,29,33,37,41,45,49,53,57,61,68,73,79,86,96,99,100,104,109,112,118,120,120,119,120,120,121,122,121,121,122,134,91,65,49,42,42,16,14,12,10,9,5,5,4,4,5
DEU,GERMANY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,2,3,4,4,5,5,5,6,6,7,7,8,9,9,9,9,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,13,14,13,1,1,1,1,0,0,0,0,0,6,9,14,17,18,22,27,35,32,27,29,36,48,53,54,63,8,12,10,8,8,8,6,7,6,36,22,39,57,67,87,123,149,192,223,268,340,434,542,688,821,979,"1,133","1,225","1,241","1,397","1,554","2,016","1,982","2,043","2,142","1,888","1,803","1,780","1,737","1,746","1,722","1,278","1,093",975,898,728,731,762,755,662,603,589,587,546,517,446,330,286,247,210,175,141,147,126,126,108,108
GHA,GHANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,5,6,6,6,8,7,8,9,9,9,7,8,9,8,13,11,11,11,11,11,11,12,12,10,10,12,10,6,8,8,9,10,10,11,10,9,11,11,12,14,15,16,25,28,24,25,28,27,20,23
GIB,GIBRALTAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GRC,GREECE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,4,4,4,5,6,7,2,0,0,0,0,0,0,0,0,0,3,4,23,24,27,26,25,30,32,34,38,41,43,49,54,54,67,75,89,103,110,121,128,129,155,191,183,174,172,161,168,163,137,134,134,135,137,133,144,170,179,196,203,233,231,224,211,233,230,227,229,231,205,205,212,220,204,220
GTM,GUATEMALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,9,11,11,11,13,14,16,16,16,17,20,22,19,22,24,25,25,26,27,26,26,28,29,33,38,43,43,35,29,21,23,22,13,16,17,18,18,20,28,31,32,37,35,36,49,45,48,49,46,43,43,42
HTI,HAITI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,3,3,3,4,4,5,5,4,3,4,4,5,5,5,6,6,7,6,6,5,4,1,5,5,7,6,6,6,6,7,6,5,5
HND,HONDURAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,4,5,5,5,5,6,5,6,6,6,6,7,9,9,10,9,9,9,9,9,9,10,11,12,12,11,10,12,13,11,11,12,14,16,15,14,16,15,17,25,22,22,29,25,26,29,29,32,36,34
HKG,HONGKONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,6,6,6,7,8,9,10,12,12,14,16,0,19,25,27,28,30,30,31,30,35,40,43,42,44,47,42,35,30,26,25,20,23,23,21,24,29,28,27,24,22,21,31,38,27,24,19,19,13,13
HUN,HUNGARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,5,5,6,4,3,4,6,4,6,7,6,3,6,10,16,20,20,15,16,13,11,11,13,18,23,32,39,50,47,57,62,73,88,102,110,120,136,83,86,91,92,106,120,136,144,146,155,164,161,176,197,174,155,142,128,124,131,145,130,120,102,94,88,110,113,121,132,124,134,124,111,116,91,78,80,64,66,53
ISL,ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,5,6,6,7,7,6,7,8,9,9,7,6,5,5,5,4,4,4,5,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
IND,INDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,2,2,3,4,4,5,6,4,5,5,6,6,7,7,9,9,10,12,13,14,13,15,20,19,21,22,24,23,24,25,22,22,29,27,29,29,31,32,33,30,33,18,19,18,17,16,15,17,19,19,34,33,34,6,27,27,26,28,38,36,31,33,48,51,55,53,53,65,85,92,103,107,115,120,132,154,168,175,192,223,204,264,284,301,340,375,382,371,377,388,419,457,488,494,516,547,570,602,637,672,710,755,821,870,881,896,893,962,"1,047","1,325","1,377","1,434","1,588","1,608","1,503","1,475","1,430","1,352","1,282"
IDN,INDONESIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,1,5,4,6,6,7,6,7,6,7,5,6,6,5,6,6,7,5,6,6,5,6,7,7,6,9,10,11,6,9,9,9,9,7,8,10,10,12,12,53,24,48,22,8,2,9,8,8,8,7,10,9,11,17,17,17,17,18,15,19,16,16,16,18,17,18,21,29,28,31,34,39,42,44,45,53,59,65,73,79,83,82,83,85,85,89,94,94,110,117,121,134,131,138,148,164,160,164,176,174,172,165,168,163
IRN,IRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,2,5,6,6,4,15,10,11,5,19,8,3,8,8,10,8,6,10,4,11,10,19,23,22,9,19,44,28,21,34,67,75,132,69,38,34,3,28,80,101,116,100,180,160,155,167,195,203,217,228,301,237,243,293,310,358,405,457,501,570,573,611,554,545,595,721,785,868,809,829,853,904,938,967,"1,021",965,"1,002",990,"1,009","1,019",952,949,939,971,937,903,957,995
IRQ,IRAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,33,65,66,71,67,138,87,55,90,125,145,161,163,164,88,13,15,22,17,21,24,26,42,38,42,43,44,46,48,49,47,53,101,46,63,69,74,81,99,92,84,71,82,99,126,183,198,192,218,233,238,265,272,288,288,293,294,259,335,384,449,442,434,423,430,429,461,505,486,426,458,475
IRL,IRELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,10,12,23,27,20,21,25,25,31,41,45,55,63,70,82,81,94,108,129,128,127,134,123,126,134,135,142,129,98,69,57,59,50,73,57,40,43,52,59,57,57,70,67,60,76,89,93,76,70,48,37,40,33
ISR,ISRAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,25,28,30,34,33,36,39,39,45,49,55,58,64,92,97,98,98,105,118,114,120,129,129,132,133,143,153,157,155,163,149,134,117,121,129,143,161,167,168,164,162,169,183,188,172,174,164,177,183,161,178,180,155,149
ITA,ITALY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,5,5,7,7,7,7,8,10,10,13,11,11,9,13,16,17,19,21,24,27,31,33,32,31,29,33,38,31,61,75,90,56,16,24,0,0,0,16,79,107,141,233,286,318,357,456,539,639,691,728,803,987,"1,207","1,467","1,726","2,039","2,234","2,417","2,679","2,989","3,209","3,301","3,492","3,692","3,926","3,788","3,442","3,569","3,223","3,136","3,088","2,932","2,691","2,421","2,427","1,757","1,550","1,591","1,643","1,600","1,550","1,355","1,276","1,237","1,173","1,095","1,038",995,937,807,734,606,534,465,379,327,262
JAM,JAMAICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,9,14,14,21,18,27,27,30,51,37,43,48,47,52,60,68,77,101,92,85,71,81,85,85,78,76,66,67,60,51,49,51,54,68,96,97,100,100,101,100,102,103,108,110,111,104,94,90,81,67
JPN,JAPAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,2,1,2,3,3,3,2,4,4,3,4,5,5,5,7,8,8,7,9,8,9,10,11,12,11,11,9,10,11,12,11,10,9,10,10,10,11,12,14,16,17,21,36,41,53,63,69,55,68,82,8,8,8,7,7,6,5,5,14,13,11,23,27,36,46,93,131,227,247,283,333,452,478,588,830,"1,049","1,393","1,772","2,168","2,423","3,004","3,606","4,103","4,796","4,230","3,989","3,500","3,392","2,730","2,067","1,957","1,765","1,523","1,314",978,801,755,640,688,653,686,668,738,802,801,786,763,717,758,731,692,695,691,697,686,679,657,639,620,601
JOR,JORDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,5,6,7,8,8,9,10,9,10,11,9,9,10,12,12,13,19,20,24,24,33,44,46,51,58,62,67,72,67,65,68,70,81,81,84,89,94,96,102,100,102,99,107,99,86,87
KAZ,KAZAKHSTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,4,4,5,4,2,2,2,2,3,3,3,3,4,5,4,5,8,10,9,10,12,13,15,16,18,19,19,20,19,17,22,13,15,17,20,22,13,15,18,20,25,30,36,43,49,56,64,75,86,96,107,118,131,142,153,171,184,203,222,244,255,261,273,289,297,314,320,321,319,323,325,329,331,326,325,328,288,311,284,228,199,170,146,128,136,106,109,104,120,133,116,137
KEN,KENYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,12,11,13,15,16,16,15,15,17,17,18,20,20,16,18,18,19,21,17,23,24,24,24,24,30,30,30,31,31,30,29,26,29,29,33,37,35,36,34,32,33,38,38,39,42,41,49,56,60,51,43,35,38,40
KOR,KOREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,12,13,13,17,18,20,26,25,27,35,47,39,55,79,127,187,244,313,355,371,458,486,538,610,665,757,823,804,758,751,749,699,638,617,577,738,865,"1,057","1,196","1,300","1,291","1,312","1,321","1,236","1,176",757,769,685,581,486,391,301,228
PRK,KOREADPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,3,3,3,2,2,3,5,5,6,5,6,6,8,8,9,8,12,14,15,15,14,14,14,14,12,13,14,14,15,11,9,8,5,7,8,6,8,6,6,7,7,7,7,6
KWT,KUWAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,79,4,13,35,33,31,29,27,25,23,21,50,55,53,57,69,83,83,83,83,83,106,105,120,120,134,135,123,115,103,99,99,135,135,169,220,264,213,237,212,213,263,250,90,96,122,105,136,156,148,167,228,271,275,277,280,340,398,455
